epoch,distortion_loss,cross_entropy_loss
0,0.05029113590717316,1.679528832435608
1,0.04912959411740303,1.4971511363983154
2,0.04850243031978607,1.4097212553024292
3,0.04824145510792732,1.4036341905593872
4,0.04816777631640434,1.3550653457641602
5,0.04768675938248634,1.4277935028076172
6,0.04736650362610817,1.424364447593689
7,0.04706014320254326,1.4463204145431519
8,0.047136448323726654,1.4443467855453491
9,0.04673390835523605,1.4224516153335571
10,0.046746838837862015,1.5398026704788208
11,0.04681723192334175,1.5660579204559326
12,0.04673808440566063,1.6445456743240356
13,0.0469876229763031,1.4696369171142578
14,0.04664330184459686,1.4407240152359009
15,0.0466565378010273,1.52102530002594
16,0.04651457071304321,1.5005890130996704
17,0.04663335904479027,1.5294053554534912
18,0.04650323465466499,1.5432324409484863
19,0.04621269926428795,1.4829490184783936
20,0.045823704451322556,1.453472375869751
21,0.04559684544801712,1.4915229082107544
22,0.04550702124834061,1.4504508972167969
23,0.04562204331159592,1.485528588294983
24,0.04561881721019745,1.530714750289917
25,0.045595116913318634,1.4580140113830566
26,0.04546263441443443,1.465694546699524
27,0.045569006353616714,1.4511295557022095
28,0.04540382698178291,1.505553126335144
29,0.04556502774357796,1.468321681022644
